Text,Commissioners,Executive_Secretary,Doing_business_as,Location,LicenseNumber,Date,Notice,License_Number,Manager,Hours_of_Operation,business_-_From,Granted_-_Condition,licenses_business_-_From,manager_-_From,Attorney,change_the_closing_hour_of_the_licensed_business_-_From,to_change_the_manager_of_the_licensed_business_-_From,description_of_the_licensed_premise_-_From,cellar._To,"total)._Secondly,_has_petitioned_to_change_the_DBA_of_the_licensed_business_-_From",to_transfer_the_license_from_the_above_-_To,"Morriseau,_Manager._12",transfer_the_license_from_the_above_-_To,"same_location)._Robert_Martignetti,_Manager._12",premise_as_follows,"Shaw,_Manager._12",licensed_premise_-_From,patio_located_on_private_property_with_seating_for_24_operated_from_7,private_property)._To,the_license_and_location_from_the_above_-_To,"entrances_exits._Manita_Bunnagitkarn,_Manager._12",license_and_the_location_from_the_above_-_To,Manager._10,12_Restaurant_To,Closing_Time,together_with_seasonal_(April-November)_outdoor_patio_on_private_property._11,"hour,_11","Has_applied_for_a_19H_(Wines,_Malts,_Distillery)_Pouring_License_to_be_exercised_on_the_above","Brandon_Keating,_Manager._1",location,A.K.A._39_First_Avenue._Ground_floor,The_Following_have_applied_for_a_One_Day_Amendment_to_Existing_License,"Brewery_for_Harpoon_Octoberfest_&_DOGtoberfest_on_October_4,_2024,_6","5,_2024,_12",2024_between_the_hours_of_4,between_the_hours_of_11,1._The_Board_deferred_disposition_of_the_following_violation_to_review_submitted_video_evidence,"Hung,_Inc._d_b_a_New_Moon_Villa_Restaurant,_15_-_19_Edinboro_St.,_Boston,_MA_02111_LicenseNumber","LB-99582,_Notice_ViolationNumber",since_occurred,with_seating_for_84_with_a_closing_hour_of_12AM._Manager,storage._Manager
"4. Mum-Mich LLC 5 Bowdoin St., Dorchester, MA 02124 Has applied for a Common Victualler License to be exercised at a previously licensed location-900SF One room kitchen in the back near rear exit, dry storage in the basement. Granted",,,Mum - Mich,,,,,LB-574964,Gillian Niles,6:00 AM to 9:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Medford Coffee, LLC 39 First Ave., Charlestown, MA 02129 Has applied for a Common Victualler License to be exercised at a previously licensed location- 850SF Commercial space In mixed use building located at 100 First Avenue Building #39 Charlestown, MA back. Storage in the basement. One Main entrance/exit in front or building for customers with one rear entry/exit in the rear for emergencies. Granted",,,Dunkin',,,,,LB-575004,Cinzia Noriller,5:00 AM to 7:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"seating area for 11, counter area, kitchen and 2 bathrooms in",,,,,,,,,,,
"1. Mass. Bay Brewing Company, Inc. 306 Northern Ave., Boston, MA 02210 Has applied for a one day amendment to existing license to include the parking lots surrounding the Granted 2. Adare, Inc. 2201 Faneuil Hall Market Pl., Boston, MA 02109 Has applied for a one day amendment to existing license to include the contiguous space that is the upper rotunda of Quincy Market Building for the Rose Kennedy Greenway Reception on October 1, Granted",,,Ned Devine’s,,,,,LB-99128,Michael Carlisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00 p.m. - 11:00 p.m., October","00 p.m. - 7:00 p.m. and October 6, 2024, 10:00 a.m - 2:00 p.m.",00 p.m. - 6:00 p.m.,,,,,,,
"3. Adare, Inc. 2201 Faneuil Hall Market Pl., Boston, MA 02109 Has applied for a one day amendment to existing license to include the contiguous space that is the upper rotunda of Quincy Market Building for The American Cancer Society Reception on October 10, Granted",,,Ned Devine’s,,,,,LB-99128,Michael Carlisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00 p.m. - 7:00 p.m.,,,,,,,
"4. Cisco Brewers, Distillers, Vintners, Seaport, Inc. 85 Northern Ave., Boston, MA 02210 Has applied for a one day amendment to existing license to include amending the opening hour one hour earlier on October 13, 2024 for the Post Party - Martin Richards Foundation MR8K Road Race Granted",,,Cisco Seaport,,,,,LB-471213,Nicholas Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00 a.m. - 1:00 p.m.,,,,,,
"5. Notch Brighton Tap Room LLC 1420 to 1440 Soldiers Field Rd., Brighton, MA 02135 Has applied for a one day amendment to existing license to include the outside courtyard for a Vendor Market on October 10, 2024 between the hours of 6 p.m. - 8 p.m. and October 20, 2024 between the hours of 5 p.m. - 10 p.m. Granted",,,,,,,,LB-447987,Jenna Chillington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. AHF Speedway Holdings, LLC 1420 to 1440 Soldiers Field Rd., Brighton, MA 02135 Has applied for a one day amendment to existing license to include a patio extension on October 1 - October 19, October 21 - October 29 & October 31, 2024 between the hours of 12 p.m. - 11 p.m. Granted",,,Charles River Speedway,,,,,,Jenna Chillington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Special One Day Alcohol Licenses have been approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Old and New Business battery dangerous weapon patron on patron in violation of M.G.L. ch. 138 s. 64, ch. 265 s. 15A. No Violation The Board requests submission of a late-night security plan Correspondence from the Board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jian,,"017326, Category: CV7MW Date: 10/27/2023 Notice: Assault and",,,
"2. The Board deferred the following to allow for the completion of the community process, which has applied for a Common Victualler 7 Day Wines & Malt Beverages w/ Liqueurs License to be exercised on the above - approximately 3000 SF Restaurant located on 2 floors, with 1490 SF located on the 1st floor, which includes a dining room and kitchen,1490 SF located in the basement, which includes a kitchen and storage. Also, to include a 1600 SF private outdoor year-round patio (weather permitting) Granted, pending the availability of a license for which the applicant qualifies",,,,,,,,,,,,,,,"George R. Jabour, Esq.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Robert A. Caparella, 211 Hanover St, Boston, MA 02113 License #: LB-563249. Has",Robert A. Caparella Closing Time: 1:00AM,
"3. The Board deferred the following to allow for the completion of the community process, which has LB-542519. Has applied for a Common Victualler 7 Day Wines and Malt Beverages License to be exercised on the above - (1200SF) First floor. Dining room and kitchen. Two restrooms. Basement for Granted, pending the availability of a license for which the applicant qualifies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hunan Gourmet LLC d/b/a Hunan Gourmet, 45 Beach St, Boston, MA 02111 License #:",,Zhichao Chang Closing Time: 10:30PM Attorney: Peter D. Pasciucco
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
